question,answer,question_indices,answer_indices
What is the capital of France?,Paris,"[4, 5, 6, 7, 8, 9]",[10]
What is the capital of Germany?,Berlin,"[4, 5, 6, 7, 8, 11]",[12]
Who wrote 'To Kill a Mockingbird'?,Harper-Lee,"[13, 14, 15, 16, 17, 18]",[19]
What is the largest planet in our solar system?,Jupiter,"[4, 5, 6, 20, 21, 22, 23, 24, 25]",[26]
What is the boiling point of water in Celsius?,100,"[4, 5, 6, 27, 28, 8, 29, 22, 30]",[31]
Who painted the Mona Lisa?,Leonardo-da-Vinci,"[13, 32, 6, 33, 34]",[35]
What is the square root of 64?,8,"[4, 5, 6, 36, 37, 8, 38]",[39]
What is the chemical symbol for gold?,Au,"[4, 5, 6, 40, 41, 42, 43]",[44]
Which year did World War II end?,1945,"[45, 46, 47, 48, 49, 50, 51]",[52]
What is the longest river in the world?,Nile,"[4, 5, 6, 53, 54, 22, 6, 48]",[55]
What is the capital of Japan?,Tokyo,"[4, 5, 6, 7, 8, 56]",[57]
Who developed the theory of relativity?,Albert-Einstein,"[13, 58, 6, 59, 8, 60]",[61]
What is the freezing point of water in Fahrenheit?,32,"[4, 5, 6, 62, 28, 8, 29, 22, 63]",[64]
Which planet is known as the Red Planet?,Mars,"[45, 21, 5, 65, 66, 6, 67, 21]",[68]
Who is the author of '1984'?,George-Orwell,"[13, 5, 6, 69, 8, 70]",[71]
What is the currency of the United Kingdom?,Pound,"[4, 5, 6, 72, 8, 6, 73, 74]",[75]
What is the capital of India?,Delhi,"[4, 5, 6, 7, 8, 76]",[77]
Who discovered gravity?,Newton,"[13, 78, 79]",[80]
How many continents are there on Earth?,7,"[81, 82, 83, 84, 85, 86, 87]",[88]
Which gas do plants use for photosynthesis?,CO2,"[45, 89, 90, 91, 92, 42, 93]",[94]
What is the smallest prime number?,2,"[4, 5, 6, 95, 96, 97]",[98]
Who invented the telephone?,Alexander-Graham-Bell,"[13, 99, 6, 100]",[101]
What is the capital of Australia?,Canberra,"[4, 5, 6, 7, 8, 102]",[103]
Which ocean is the largest?,Pacific-Ocean,"[45, 104, 5, 6, 20]",[105]
What is the speed of light in vacuum?,"299,792,458m/s","[4, 5, 6, 106, 8, 107, 22, 108]",[109]
Which language is spoken in Brazil?,Portuguese,"[45, 110, 5, 111, 22, 112]",[113]
Who discovered penicillin?,Alexander-Fleming,"[13, 78, 114]",[115]
What is the capital of Canada?,Ottawa,"[4, 5, 6, 7, 8, 116]",[117]
What is the largest mammal on Earth?,Whale,"[4, 5, 6, 20, 118, 86, 87]",[119]
Which element has the atomic number 1?,Hydrogen,"[45, 120, 121, 6, 122, 97, 123]",[124]
What is the tallest mountain in the world?,Everest,"[4, 5, 6, 125, 126, 22, 6, 48]",[127]
Which city is known as the Big Apple?,NewYork,"[45, 128, 5, 65, 66, 6, 129, 130]",[131]
How many planets are in the Solar System?,8,"[81, 82, 132, 84, 22, 6, 24, 25]",[39]
Who painted 'Starry Night'?,vangogh,"[13, 32, 133, 134]",[135]
What is the chemical formula of water?,H2O,"[4, 5, 6, 40, 136, 8, 29]",[137]
What is the capital of Italy?,Rome,"[4, 5, 6, 7, 8, 138]",[139]
Which country is famous for sushi?,Japan,"[45, 140, 5, 141, 42, 142]",[56]
Who was the first person to step on the Moon?,Armstrong,"[13, 143, 6, 144, 145, 15, 146, 86, 6, 147]",[148]
What is the main ingredient in guacamole?,Avocado,"[4, 5, 6, 149, 150, 22, 151]",[152]
How many sides does a hexagon have?,6,"[81, 82, 153, 154, 17, 155, 156]",[157]
What is the currency of China?,Yuan,"[4, 5, 6, 72, 8, 158]",[159]
Who wrote 'Pride and Prejudice'?,Jane-Austen,"[13, 14, 160, 161, 162]",[163]
What is the chemical symbol for iron?,Fe,"[4, 5, 6, 40, 41, 42, 164]",[165]
What is the hardest natural substance on Earth?,Diamond,"[4, 5, 6, 166, 167, 168, 86, 87]",[169]
Which continent is the largest by area?,Asia,"[45, 170, 5, 6, 20, 171, 172]",[173]
Who was the first President of the United States?,George-Washington,"[13, 143, 6, 144, 174, 8, 6, 73, 175]",[176]
Which bird is known for its ability to mimic sounds?,Parrot,"[45, 177, 5, 65, 42, 178, 179, 15, 180, 181]",[182]
What is the longest-running animated TV show?,Simpsons,"[4, 5, 6, 183, 184, 185, 186]",[187]
What is the smallest country in the world?,VaticanCity,"[4, 5, 6, 95, 140, 22, 6, 48]",[188]
Which planet has the most moons?,Saturn,"[45, 21, 121, 6, 189, 190]",[191]
Who wrote 'Romeo and Juliet'?,Shakespeare,"[13, 14, 192, 161, 193]",[194]
What is the main gas in Earth's atmosphere?,Nitrogen,"[4, 5, 6, 149, 89, 22, 195, 196]",[197]
How many bones are in the adult human body?,206,"[81, 82, 198, 84, 22, 6, 199, 200, 201]",[202]
Which metal is a liquid at room temperature?,Mercury,"[45, 203, 5, 17, 204, 205, 206, 207]",[208]
What is the capital of Russia?,Moscow,"[4, 5, 6, 7, 8, 209]",[210]
Who discovered electricity?,Benjamin-Franklin,"[13, 78, 211]",[212]
Which is the second-largest country by land area?,Canada,"[45, 5, 6, 213, 140, 171, 214, 172]",[116]
What is the color of a ripe banana?,Yellow,"[4, 5, 6, 215, 8, 17, 216, 217]",[218]
Which month has 28 days in a common year?,February,"[45, 219, 121, 220, 221, 22, 17, 222, 46]",[223]
What is the study of living organisms called?,Biology,"[4, 5, 6, 224, 8, 225, 226, 227]",[228]
Which country is home to the Great Wall?,China,"[45, 140, 5, 229, 15, 6, 230, 231]",[158]
What do bees collect from flowers?,Nectar,"[4, 90, 232, 233, 234, 235]",[236]
What is the opposite of 'day'?,Night,"[4, 5, 6, 237, 8, 238]",[134]
What is the capital of South Korea?,Seoul,"[4, 5, 6, 7, 8, 239, 240]",[241]
Who invented the light bulb?,Edison,"[13, 99, 6, 107, 242]",[243]
Which gas do humans breathe in for survival?,Oxygen,"[45, 89, 90, 244, 245, 22, 42, 246]",[247]
What is the square root of 144?,12,"[4, 5, 6, 36, 37, 8, 248]",[249]
Which country has the pyramids of Giza?,Egypt,"[45, 140, 121, 6, 250, 8, 251]",[252]
Which sea creature has eight arms?,Octopus,"[45, 253, 254, 121, 255, 256]",[257]
Which holiday is celebrated on December 25?,Christmas,"[45, 258, 5, 259, 86, 260, 261]",[262]
What is the currency of Japan?,Yen,"[4, 5, 6, 72, 8, 56]",[263]
How many legs does a spider have?,8,"[81, 82, 264, 154, 17, 265, 156]",[39]
"Which sport uses a net, ball, and hoop?",Basketball,"[45, 266, 267, 17, 268, 269, 161, 270]",[271]
Which country is famous for its kangaroos?,Australia,"[45, 140, 5, 141, 42, 178, 272]",[102]
Who was the first female Prime Minister of the UK?,MargaretThatcher,"[13, 143, 6, 144, 273, 96, 274, 8, 6, 275]",[276]
Which is the fastest land animal?,Cheetah,"[45, 5, 6, 277, 214, 278]",[279]
What is the first element on the periodic table?,Hydrogen,"[4, 5, 6, 144, 120, 86, 6, 280, 281]",[124]
What is the capital of Spain?,Madrid,"[4, 5, 6, 7, 8, 282]",[283]
Which planet is the closest to the Sun?,Mercury,"[45, 21, 5, 6, 284, 15, 6, 285]",[208]
Who is known as the father of computers?,CharlesBabbage,"[13, 5, 65, 66, 6, 286, 8, 287]",[288]
What is the capital of Mexico?,MexicoCity,"[4, 5, 6, 7, 8, 289]",[290]
How many colors are in a rainbow?,7,"[81, 82, 291, 84, 22, 17, 292]",[88]
Which musical instrument has black and white keys?,Piano,"[45, 293, 294, 121, 295, 161, 296, 297]",[298]
Who discovered the Americas in 1492?,ChristopherColumbus,"[13, 78, 6, 299, 22, 300]",[301]
Which Disney character has a long nose and grows it when lying?,Pinocchio,"[45, 302, 303, 121, 17, 304, 305, 161, 306, 307, 308, 309]",[310]
Who directed the movie 'Titanic'?,JamesCameron,"[13, 311, 6, 312, 313]",[314]
Which superhero is also known as the Dark Knight?,Batman,"[45, 315, 5, 316, 65, 66, 6, 317, 318]",[319]
What is the capital of Brazil?,Brasilia,"[4, 5, 6, 7, 8, 112]",[320]
Which fruit is known as the king of fruits?,Mango,"[45, 321, 5, 65, 66, 6, 322, 8, 323]",[324]
Which country is known for the Eiffel Tower?,France,"[45, 140, 5, 65, 42, 6, 325, 326]",[9]
